 ,X,Y
1,6860.0,2580.0
2,8084.0,2244.0
3,8312.0,2112.0
4,9206.0,3073.0
5,9452.0,2911.0
6,9572.0,2983.0
7,6344.0,3709.0
8,6752.0,3643.0
9,5246.0,3253.0
10,5504.0,3295.0
11,4970.0,2659.0
12,4676.0,2881.0
13,4166.0,2413.0
14,5708.0,1272.0
15,6680.0,2172.0
16,7112.0,2868.0
17,6560.0,2694.0
18,5324.0,3828.0
19,5234.0,4074.0
20,4734.0,3666.0
21,4906.0,3874.0
22,5342.0,4862.0
23,5246.0,4946.0
24,5734.0,6492.0
25,5654.0,6804.0
26,5518.0,7292.0
27,5470.0,7532.0
28,5630.0,8092.0
29,6542.0,9036.0
30,4622.0,8500.0
31,4366.0,9124.0
32,5997.0,9366.0
33,5110.0,9580.0
34,6406.0,11964.0
35,6470.0,13692.0
36,4558.0,13052.0
37,816.0,11812.0
38,4740.0,12780.0
39,3996.0,12984.0
40,4092.0,12612.0
41,1340.0,12284.0
42,1460.0,12500.0
43,1588.0,12300.0
44,1533.0,11544.0
45,2817.0,10578.0
46,4863.0,13722.0
47,6063.0,12204.0
48,5811.0,9756.0
49,9212.0,4290.0
50,9560.0,4716.0
51,7208.0,3427.0
52,6224.0,1914.0
53,6464.0,2358.0
54,4070.0,8460.0
55,3644.0,7818.0
56,7112.0,7195.0
57,9044.0,4529.0
58,8288.0,5263.0
59,7796.0,2683.0
60,3516.0,13272.0
61,3876.0,12648.0
